Time,T1,T2,U1,U2,SP1,SP2
0,20.6272,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
5.01,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
10.01,20.949499999999997,20.949499999999997,21.11613876319759,21.11613876319759,50.0,50.0
15.01,21.594099999999997,21.594099999999997,21.11613876319759,21.11613876319759,50.0,50.0
20.02,21.9164,21.9164,21.11613876319759,21.11613876319759,50.0,50.0
25.03,22.238699999999998,22.238699999999998,21.11613876319759,21.11613876319759,50.0,50.0
30.0,22.561,22.561,21.11613876319759,21.11613876319759,50.0,50.0
35.04,23.205599999999997,23.205599999999997,21.11613876319759,21.11613876319759,50.0,50.0
40.06,23.5279,23.5279,21.11613876319759,21.11613876319759,50.0,50.0
45.06,24.1725,24.1725,21.11613876319759,21.11613876319759,50.0,50.0
50.15,24.494799999999998,24.494799999999998,21.11613876319759,21.11613876319759,50.0,50.0
55.11,25.1394,25.1394,21.11613876319759,21.11613876319759,50.0,50.0
60.25,25.461699999999997,25.461699999999997,21.11613876319759,21.11613876319759,50.0,50.0
65.29,26.106299999999997,26.106299999999997,21.11613876319759,21.11613876319759,50.0,50.0
70.19,26.4286,26.4286,21.11613876319759,21.11613876319759,50.0,50.0
75.22,27.073199999999996,27.073199999999996,21.11613876319759,21.11613876319759,50.0,50.0
80.24,27.3955,27.3955,21.11613876319759,21.11613876319759,50.0,50.0
85.27,27.717799999999997,27.717799999999997,21.11613876319759,21.11613876319759,50.0,50.0
