Time,T1,T2,U1,U2,SP1,SP2
0,20.6272,20.6272,51.28205128205129,51.28205128205129,50.0,50.0
5.03,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0
10.01,21.594099999999997,21.594099999999997,51.28205128205129,51.28205128205129,50.0,50.0
15.03,22.238699999999998,22.238699999999998,51.28205128205129,51.28205128205129,50.0,50.0
20.06,23.205599999999997,23.205599999999997,51.28205128205129,51.28205128205129,50.0,50.0
25.06,24.1725,24.1725,51.28205128205129,51.28205128205129,50.0,50.0
30.03,25.1394,25.1394,51.28205128205129,51.28205128205129,50.0,50.0
35.08,26.4286,26.4286,51.28205128205129,51.28205128205129,50.0,50.0
40.06,27.3955,27.3955,51.28205128205129,51.28205128205129,50.0,50.0
45.17,28.6847,28.6847,51.28205128205129,51.28205128205129,50.0,50.0
50.0,29.973899999999997,29.973899999999997,51.28205128205129,51.28205128205129,50.0,50.0
55.18,31.263099999999998,30.940799999999996,51.28205128205129,51.28205128205129,50.0,50.0
60.24,32.23,32.23,51.28205128205129,51.28205128205129,50.0,50.0
65.16,33.5192,33.5192,51.28205128205129,51.28205128205129,50.0,50.0
70.06,34.4861,34.4861,51.28205128205129,51.28205128205129,50.0,50.0
75.16,35.452999999999996,35.775299999999994,51.28205128205129,51.28205128205129,50.0,50.0
80.14,36.7422,36.7422,51.28205128205129,51.28205128205129,50.0,50.0
85.21,37.7091,37.7091,51.28205128205129,51.28205128205129,50.0,50.0
90.29,38.675999999999995,38.675999999999995,51.28205128205129,51.28205128205129,50.0,50.0
95.02,39.6429,39.6429,51.28205128205129,51.28205128205129,50.0,50.0
100.26,40.6098,40.6098,51.28205128205129,51.28205128205129,50.0,50.0
105.3,41.576699999999995,41.576699999999995,51.28205128205129,51.28205128205129,50.0,50.0
110.05,42.2213,42.2213,51.28205128205129,51.28205128205129,50.0,50.0
115.3,43.188199999999995,43.188199999999995,51.28205128205129,51.28205128205129,50.0,50.0
120.05,43.8328,43.8328,51.28205128205129,51.28205128205129,50.0,50.0
125.08,44.799699999999994,44.799699999999994,51.28205128205129,51.28205128205129,50.0,50.0
130.03,45.4443,45.4443,51.28205128205129,51.28205128205129,50.0,50.0
135.26,46.088899999999995,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0
140.04,47.0558,47.0558,51.28205128205129,51.28205128205129,50.0,50.0
145.29,47.700399999999995,47.700399999999995,51.28205128205129,51.28205128205129,50.0,50.0
150.23,48.345,48.345,51.28205128205129,51.28205128205129,50.0,50.0
155.02,48.989599999999996,48.989599999999996,51.28205128205129,51.28205128205129,50.0,50.0
160.22,49.63419999999999,49.63419999999999,51.28205128205129,51.28205128205129,50.0,50.0
