Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,30.165912518853695,30.165912518853695,50.0,50.0,22.000000000000014,22.000000000000007
5.0,20.949499999999997,20.949499999999997,32.05128205128205,32.051282051282044,50.0,50.0,24.5,24.5
10.03,21.2718,21.2718,33.947963800904986,33.94796380090497,50.0,50.0,27.015,27.015
15.03,21.594099999999997,21.594099999999997,35.83333333333335,35.833333333333336,50.0,50.0,29.515,29.515
20.03,22.238699999999998,22.238699999999998,37.718702865761706,37.718702865761685,50.0,50.0,32.015,32.015
25.02,22.8833,22.8833,39.60030165912521,39.600301659125186,50.0,50.0,34.510000000000005,34.510000000000005
30.04,23.5279,23.5279,41.49321266968328,41.49321266968325,65.0,50.0,37.019999999999996,37.019999999999996
35.07,24.494799999999998,24.494799999999998,43.389894419306195,43.38989441930618,66.0,50.0,39.535,39.535
40.1,25.461699999999997,25.461699999999997,45.28657616892913,45.2865761689291,66.0,50.0,42.04999999999999,42.05
45.17,26.4286,26.4286,47.19834087481149,47.19834087481147,67.0,50.0,44.585,44.58500000000001
50.1,27.3955,27.3955,49.05731523378583,49.05731523378583,67.0,50.0,47.05,47.04999999999999
55.15,28.362399999999997,28.362399999999997,50.96153846153848,50.96153846153846,67.0,50.0,49.575,49.574999999999996
60.17,29.6516,29.6516,52.854449472096555,52.85444947209653,67.0,50.0,52.085,52.085
65.08,30.618499999999997,30.618499999999997,54.705882352941195,54.70588235294119,67.0,50.0,54.540000000000006,54.540000000000006
70.01,31.585399999999996,31.585399999999996,56.56485671191557,56.564856711915546,67.0,50.0,57.00500000000001,57.005
75.18,32.8746,32.8746,58.51432880844648,58.514328808446464,67.0,50.0,59.59000000000001,59.589999999999996
80.21,34.163799999999995,34.163799999999995,60.4110105580694,60.411010558069385,67.0,50.0,62.105000000000004,62.105000000000004
85.12,35.1307,35.1307,62.262443438914055,62.26244343891403,67.0,50.0,64.56,64.56
90.16,36.4199,36.4199,64.16289592760184,64.16289592760184,67.0,50.0,67.08000000000001,67.08
95.17,37.7091,37.7091,66.05203619909506,66.05203619909503,67.0,50.0,69.58500000000001,69.58500000000001
100.24,38.9983,38.9983,67.9638009049774,67.96380090497738,67.0,50.0,72.12,72.12
105.25,39.965199999999996,39.965199999999996,69.85294117647061,69.8529411764706,67.0,50.0,74.625,74.625
110.09,41.2544,41.2544,71.67797888386127,71.67797888386124,67.0,50.0,77.04500000000002,77.045
115.04,42.5436,42.5436,73.54449472096536,73.54449472096532,67.0,50.0,79.52000000000001,79.52000000000001
120.01,43.8328,43.8328,75.41855203619913,75.41855203619909,67.0,50.0,82.00500000000001,82.005
125.28,45.4443,45.4443,77.4057315233786,77.40573152337859,67.0,50.0,84.64000000000001,84.64
130.3,46.7335,46.7335,79.2986425339367,79.29864253393664,67.0,50.0,87.15,87.15
135.29,48.02269999999999,48.02269999999999,81.1802413273002,81.18024132730017,67.0,50.0,89.645,89.645
140.25,49.311899999999994,49.311899999999994,83.0505279034691,83.05052790346907,67.0,50.0,92.125,92.125
145.02,50.601099999999995,50.601099999999995,84.46455505279039,84.46455505279036,67.0,50.0,94.0,94.0
150.3,51.890299999999996,51.890299999999996,84.46455505279039,84.46455505279036,67.0,50.0,94.0,94.0
155.18,53.501799999999996,53.501799999999996,84.46455505279039,84.46455505279036,67.0,50.0,94.0,94.0
160.23,54.791,54.791,84.46455505279039,84.46455505279036,67.0,50.0,94.0,94.0
