Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
5.02,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
10.7,21.594099999999997,21.594099999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
20.67,23.205599999999997,23.205599999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
26.08,24.494799999999998,24.494799999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
39.88,27.3955,27.3955,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
40.02,27.3955,27.3955,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
45.83,29.006999999999998,29.006999999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
50.03,29.973899999999997,29.973899999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
55.99,31.263099999999998,31.263099999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
60.03,32.23,32.23,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
70.01,34.4861,34.4861,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
73.44,35.1307,35.1307,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
75.06,35.452999999999996,35.452999999999996,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
80.11,36.7422,36.7422,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
86.05,38.0314,37.7091,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
90.14,38.675999999999995,38.675999999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
103.47,41.2544,41.2544,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
105.02,41.576699999999995,41.2544,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
110.73,42.5436,42.2213,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
115.05,43.188199999999995,43.188199999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
120.96,44.1551,44.1551,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
131.01,45.7666,45.7666,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
135.64,46.411199999999994,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
145.09,47.700399999999995,47.700399999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
152.78,48.6673,48.6673,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
160.23,49.63419999999999,49.63419999999999,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
