Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,30.165912518853695,30.165912518853695,50.0,50.0,22.000000000000014,22.000000000000007
5.03,20.949499999999997,20.949499999999997,32.06259426847664,32.06259426847663,50.0,50.0,24.515,24.515000000000004
10.03,21.2718,21.2718,33.947963800904986,33.94796380090497,50.0,50.0,27.015,27.015
15.03,21.594099999999997,21.594099999999997,35.83333333333335,35.833333333333336,50.0,50.0,29.515,29.515
20.06,22.238699999999998,22.238699999999998,37.73001508295627,37.73001508295626,50.0,50.0,32.03,32.03
25.06,22.8833,22.8833,39.61538461538463,39.61538461538461,50.0,50.0,34.53,34.53
30.09,23.850199999999997,23.5279,41.512066365007556,41.51206636500754,50.0,50.0,37.045,37.045
35.09,24.494799999999998,24.494799999999998,43.39743589743591,43.397435897435905,50.0,50.0,39.545,39.544999999999995
40.0,25.461699999999997,25.461699999999997,45.24886877828057,45.248868778280546,50.0,50.0,42.0,42.0
45.09,26.4286,26.4286,47.168174962292625,47.16817496229262,50.0,50.0,44.545,44.545
50.14,27.3955,27.3955,49.07239819004526,49.07239819004525,50.0,50.0,47.07000000000001,47.07
55.1,28.362399999999997,28.362399999999997,50.942684766214185,50.94268476621418,50.0,50.0,49.55,49.55
60.14,29.6516,29.6516,52.843137254901976,52.84313725490197,50.0,50.0,52.07000000000001,52.07000000000001
65.01,30.618499999999997,30.618499999999997,54.679487179487204,54.6794871794872,50.0,50.0,54.50500000000001,54.50500000000001
70.0,31.585399999999996,31.585399999999996,56.56108597285071,56.56108597285069,50.0,50.0,57.00000000000001,57.0
75.0,32.8746,32.8746,58.44645550527906,58.44645550527903,50.0,50.0,59.50000000000001,59.49999999999999
80.06,33.841499999999996,34.163799999999995,60.35444947209656,60.354449472096526,50.0,50.0,62.03000000000001,62.02999999999999
85.19,35.1307,35.1307,62.288838612368046,62.288838612368046,50.0,50.0,64.595,64.595
90.12,36.4199,36.4199,64.14781297134242,64.14781297134239,50.0,50.0,67.06,67.06
95.14,37.7091,37.7091,66.04072398190048,66.04072398190044,50.0,50.0,69.57,69.57
100.12,38.675999999999995,38.675999999999995,67.91855203619912,67.91855203619912,50.0,50.0,72.06,72.06
105.22,39.965199999999996,40.287499999999994,69.84162895927604,69.84162895927604,50.0,50.0,74.61000000000001,74.61
110.18,41.2544,41.576699999999995,71.71191553544499,71.71191553544496,50.0,50.0,77.09,77.09
115.11,42.5436,42.865899999999996,73.57088989441935,73.57088989441932,50.0,50.0,79.555,79.555
120.09,43.8328,44.1551,75.44871794871798,75.44871794871796,50.0,50.0,82.04500000000002,82.045
125.25,45.4443,45.122,77.39441930618405,77.39441930618402,50.0,50.0,84.625,84.625
130.22,46.7335,46.7335,79.26847662141782,79.2684766214178,50.0,50.0,87.11,87.11
135.1,48.02269999999999,48.02269999999999,81.10859728506793,81.10859728506787,50.0,50.0,89.55,89.55
140.15,49.311899999999994,49.311899999999994,83.01282051282054,83.01282051282053,50.0,50.0,92.075,92.075
145.13,50.601099999999995,50.601099999999995,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
150.01,51.890299999999996,51.890299999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
155.17,53.501799999999996,53.501799999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
160.19,54.791,54.791,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
165.23,56.0802,56.0802,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
170.03,57.3694,57.3694,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
175.16,58.65859999999999,58.65859999999999,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
180.15,59.947799999999994,59.947799999999994,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
185.01,61.236999999999995,61.236999999999995,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
190.13,62.526199999999996,62.526199999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
195.08,63.4931,63.4931,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
200.05,64.78229999999999,64.78229999999999,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
205.12,65.7492,65.7492,84.04223227752641,84.0422322775264,50.0,50.0,93.44,93.44
210.13,66.7161,66.7161,82.1530920060332,82.1530920060332,50.0,50.0,90.935,90.935
215.25,68.00529999999999,68.00529999999999,80.22247360482658,80.22247360482656,50.0,50.0,88.375,88.375
220.09,68.9722,68.64989999999999,78.39743589743594,78.3974358974359,50.0,50.0,85.955,85.955
225.12,69.6168,69.6168,76.50075414781301,76.50075414781297,50.0,50.0,83.44000000000001,83.44
230.21,70.5837,70.5837,74.58144796380093,74.58144796380091,50.0,50.0,80.89500000000001,80.895
235.14,71.22829999999999,71.22829999999999,72.72247360482658,72.72247360482655,50.0,50.0,78.43000000000002,78.43
240.13,71.8729,71.8729,70.84087481146307,70.84087481146304,50.0,50.0,75.935,75.935
250.08,73.1621,73.1621,6.757164404223247,6.757164404223227,50.0,50.0,70.96000000000001,70.96
255.18,73.4844,73.4844,4.834087481146332,4.834087481146298,50.0,50.0,68.41,68.41
260.12,73.1621,73.1621,2.971342383107117,2.9713423831070904,50.0,50.0,65.94,65.94
265.2,72.8398,72.8398,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
270.11,71.8729,71.8729,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
275.23,70.90599999999999,70.90599999999999,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
280.14,69.9391,69.9391,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
285.1,68.64989999999999,68.64989999999999,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
290.13,67.3607,67.3607,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
295.01,66.0715,66.0715,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
300.2,64.78229999999999,64.78229999999999,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
305.05,63.4931,63.4931,1.5082956259426994,1.5082956259426927,50.0,50.0,64.0,63.99999999999999
310.22,62.2039,62.2039,61.8401206636501,61.84012066365009,50.0,50.0,64.0,63.99999999999999
315.19,60.914699999999996,60.914699999999996,61.8401206636501,61.84012066365009,50.0,50.0,64.0,63.99999999999999
320.17,60.27009999999999,60.27009999999999,61.8401206636501,61.84012066365009,50.0,50.0,64.0,63.99999999999999
325.19,59.947799999999994,59.947799999999994,62.288838612368046,62.288838612368046,50.0,50.0,64.595,64.595
330.2,59.947799999999994,59.625499999999995,64.17797888386126,64.17797888386123,50.0,50.0,67.1,67.1
335.2,59.947799999999994,59.625499999999995,66.0633484162896,66.0633484162896,50.0,50.0,69.6,69.6
