Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,30.165912518853695,30.165912518853695,50.0,50.0,22.000000000000014,22.000000000000007
5.02,20.949499999999997,20.949499999999997,32.05882352941179,32.05882352941177,50.0,50.0,24.510000000000005,24.50999999999999
10.02,21.2718,21.2718,33.94419306184013,33.94419306184012,50.0,50.0,27.010000000000005,27.010000000000005
15.04,21.594099999999997,21.594099999999997,35.83710407239821,35.83710407239819,50.0,50.0,29.52000000000001,29.519999999999996
20.03,22.238699999999998,22.238699999999998,37.718702865761706,37.718702865761685,50.0,50.0,32.015,32.015
25.05,22.8833,22.8833,39.61161387631977,39.611613876319765,50.0,50.0,34.52499999999999,34.525000000000006
30.06,23.850199999999997,23.850199999999997,41.50075414781299,41.50075414781298,50.0,50.0,37.03,37.03000000000001
35.08,24.494799999999998,24.494799999999998,43.39366515837107,43.39366515837104,50.0,50.0,39.540000000000006,39.53999999999999
40.0,25.461699999999997,25.461699999999997,45.24886877828057,45.248868778280546,50.0,50.0,42.0,42.0
45.16,26.4286,26.4286,47.19457013574663,47.19457013574661,50.0,50.0,44.58,44.58
50.15,27.3955,27.3955,49.0761689291101,49.07616892911011,50.0,50.0,47.075,47.075
55.15,28.362399999999997,28.362399999999997,50.96153846153848,50.96153846153846,50.0,50.0,49.575,49.574999999999996
60.15,29.6516,29.6516,52.84690799396684,52.84690799396682,50.0,50.0,52.075,52.075
65.27,30.618499999999997,30.618499999999997,54.77752639517349,54.77752639517345,50.0,50.0,54.635000000000005,54.63499999999999
70.01,31.585399999999996,31.585399999999996,56.56485671191557,56.564856711915546,50.0,50.0,57.00500000000001,57.005
75.23,32.8746,32.8746,58.53318250377076,58.533182503770746,50.0,50.0,59.61500000000001,59.615
80.2,34.163799999999995,33.841499999999996,60.40723981900455,60.40723981900452,50.0,50.0,62.10000000000001,62.1
85.22,35.1307,35.452999999999996,62.30015082956262,62.30015082956259,50.0,50.0,64.61000000000001,64.61
90.03,36.4199,36.4199,64.1138763197587,64.11387631975867,50.0,50.0,67.01500000000001,67.015
95.07,37.7091,37.7091,66.01432880844648,66.01432880844645,50.0,50.0,69.535,69.535
100.22,38.9983,38.9983,67.9562594268477,67.95625942684768,50.0,50.0,72.11000000000001,72.11
105.13,40.287499999999994,39.965199999999996,69.80769230769234,69.8076923076923,50.0,50.0,74.565,74.565
110.22,41.2544,41.576699999999995,71.72699849170439,71.72699849170439,50.0,50.0,77.11000000000001,77.11
115.28,42.865899999999996,42.865899999999996,73.63499245852191,73.63499245852188,50.0,50.0,79.64,79.64
120.02,43.8328,43.8328,75.42232277526396,75.42232277526395,50.0,50.0,82.00999999999999,82.00999999999999
125.01,45.122,45.122,77.30392156862747,77.30392156862744,50.0,50.0,84.505,84.505
130.29,46.7335,46.7335,79.29487179487181,79.29487179487181,50.0,50.0,87.145,87.145
135.17,48.02269999999999,48.02269999999999,81.1349924585219,81.1349924585219,50.0,50.0,89.585,89.585
140.05,49.311899999999994,49.311899999999994,82.97511312217198,82.97511312217196,50.0,50.0,92.025,92.025
145.15,50.601099999999995,50.601099999999995,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
150.15,51.890299999999996,51.890299999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
155.03,53.501799999999996,53.501799999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
160.25,54.791,54.791,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
165.27,56.0802,56.402499999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
170.07,57.3694,57.3694,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
175.29,58.65859999999999,58.65859999999999,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
180.07,59.947799999999994,59.947799999999994,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
185.06,61.236999999999995,61.236999999999995,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
190.29,62.526199999999996,62.526199999999996,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
195.01,63.8154,63.4931,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
200.23,64.78229999999999,64.78229999999999,84.46455505279039,84.46455505279036,50.0,50.0,94.0,94.0
205.21,65.7492,65.7492,84.00829562594271,84.00829562594268,50.0,50.0,93.395,93.395
210.12,67.0384,67.0384,82.15686274509805,82.15686274509805,50.0,50.0,90.94,90.94
215.06,67.68299999999999,67.68299999999999,80.29411764705885,80.29411764705885,50.0,50.0,88.47,88.47
