Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,30.165912518853695,30.165912518853695,50.0,50.0,22.000000000000014,22.000000000000007
5.02,20.949499999999997,20.949499999999997,32.05882352941179,32.05882352941177,50.0,50.0,24.510000000000005,24.50999999999999
10.03,21.2718,21.2718,33.947963800904986,33.94796380090497,50.0,50.0,27.015,27.015
15.01,21.594099999999997,21.9164,35.825791855203626,35.82579185520361,50.0,50.0,29.504999999999995,29.504999999999995
20.0,22.238699999999998,22.238699999999998,37.707390648567134,37.70739064856712,50.0,50.0,32.0,32.0
25.02,22.8833,22.8833,39.60030165912521,39.600301659125186,50.0,50.0,34.510000000000005,34.510000000000005
30.03,23.5279,23.850199999999997,41.48944193061844,41.4894419306184,50.0,50.0,37.015,37.015
35.05,24.494799999999998,24.494799999999998,43.3823529411765,43.38235294117647,50.0,50.0,39.525000000000006,39.525
40.0,25.461699999999997,25.461699999999997,45.24886877828057,45.248868778280546,50.0,50.0,42.0,42.0
45.04,26.4286,26.4286,47.14932126696834,47.14932126696833,50.0,50.0,44.51999999999999,44.519999999999996
50.07,27.3955,27.3955,49.04600301659125,49.04600301659125,50.0,50.0,47.035,47.035
60.07,29.329299999999996,29.329299999999996,52.816742081447984,52.81674208144797,50.0,50.0,52.035,52.035
65.02,30.618499999999997,30.618499999999997,54.68325791855205,54.683257918552044,50.0,50.0,54.510000000000005,54.510000000000005
70.01,31.585399999999996,31.585399999999996,56.56485671191557,56.564856711915546,50.0,50.0,57.00500000000001,57.005
75.13,32.8746,32.8746,58.49547511312219,58.495475113122176,50.0,50.0,59.565000000000005,59.565
80.1,33.841499999999996,33.841499999999996,60.369532428355974,60.36953242835597,50.0,50.0,62.050000000000004,62.05
90.04,36.0976,36.4199,64.11764705882358,64.11764705882355,50.0,50.0,67.02000000000001,67.02000000000001
95.01,37.386799999999994,37.386799999999994,65.99170437405735,65.99170437405732,50.0,50.0,69.505,69.505
