Time,T1,T2,U1,U2,SP1,SP2,T1_ff,T2_ff
0,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
5.02,20.949499999999997,20.949499999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
10.03,21.2718,21.594099999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
15.04,22.238699999999998,22.238699999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
20.04,23.205599999999997,23.205599999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
25.05,24.1725,24.1725,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
30.05,25.1394,25.1394,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
35.06,26.4286,26.4286,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
40.11,27.3955,27.717799999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
45.16,28.6847,28.6847,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
50.16,29.973899999999997,29.973899999999997,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
55.23,31.263099999999998,31.263099999999998,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
60.29,32.552299999999995,32.552299999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
65.16,33.5192,33.5192,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
70.05,34.4861,34.4861,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
75.12,35.775299999999994,35.775299999999994,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
80.26,36.7422,36.7422,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
85.24,37.7091,37.7091,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
90.19,38.675999999999995,38.675999999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
95.18,39.6429,39.6429,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
100.05,40.6098,40.6098,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
105.18,41.576699999999995,41.576699999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
110.04,42.2213,42.2213,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
115.2,43.188199999999995,43.188199999999995,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
120.0,44.1551,44.1551,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
125.23,44.799699999999994,44.799699999999994,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
130.2,45.7666,45.7666,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
135.14,46.411199999999994,46.411199999999994,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
140.13,47.0558,47.0558,51.28205128205129,51.28205128205129,50.0,50.0,50.0,50.00000000000001
